left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
3,1,117,49,41.8803418803,5.26530612245,5.14285714286,5.26530612245,6.51020408163,0.244897959184,D6,D,6,2
3,2,2330,191,8.1974248927,2.44502617801,2.43455497382,2.44502617801,6.19371727749,0.020942408377,D6,D,6,2
3,3,5982,213,3.56068204614,2.06103286385,2.03286384977,2.06103286385,6.10328638498,0.056338028169,D6,D,6,2
3,4,2330,149,6.39484978541,1.53020134228,1.51677852349,1.53020134228,5.44966442953,0.0268456375839,D6,D,6,2
3,5,117,13,11.1111111111,1.07692307692,1.0,1.07692307692,5.15384615384,0.153846153846,D6,D,6,2
4,1,16,14,87.5,4.21428571428,4.21428571428,4.21428571428,6.14285714286,0.0,D6,D,6,2
4,2,510,123,24.1176470588,2.23577235772,2.21951219512,2.23577235772,5.83739837398,0.0325203252033,D6,D,6,2
4,3,2330,149,6.39484978541,1.53020134228,1.51677852349,1.53020134228,5.44966442953,0.0268456375839,D6,D,6,2
4,4,2433,164,6.74064940403,1.65243902439,1.62804878049,1.65243902439,5.65853658537,0.0487804878049,D6,D,6,2
4,5,262,22,8.39694656488,1.18181818182,1.09090909091,1.18181818182,5.45454545454,0.181818181818,D6,D,6,2
5,2,16,9,56.25,1.55555555555,1.44444444445,1.55555555555,5.44444444445,0.222222222222,D6,D,6,2
5,3,117,13,11.1111111111,1.07692307692,1.0,1.07692307692,5.15384615384,0.153846153846,D6,D,6,2
5,4,262,22,8.39694656488,1.18181818182,1.09090909091,1.18181818182,5.45454545454,0.181818181818,D6,D,6,2
5,5,135,11,8.14814814815,1.09090909091,1.0,1.09090909091,5.18181818182,0.181818181818,D6,D,6,2
6,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
