ell,total,changed,percentage_changed,type,family,rank,prime,source
14,2911,10,0.343524562006,E6,E,6,3,percentage
15,3222,19,0.589695841092,E6,E,6,3,percentage
16,3461,22,0.635654435135,E6,E,6,3,percentage
17,3611,50,1.38465798948,E6,E,6,3,percentage
18,3662,72,1.96613872201,E6,E,6,3,percentage
19,3611,121,3.35087233453,E6,E,6,3,percentage
20,3461,134,3.87171337764,E6,E,6,3,percentage
21,3222,139,4.31409062694,E6,E,6,3,percentage
22,2911,112,3.84747509447,E6,E,6,3,percentage
23,2549,95,3.72695174578,E6,E,6,3,percentage
24,2159,74,3.42751273738,E6,E,6,3,percentage
25,1765,62,3.51274787535,E6,E,6,3,percentage
26,1389,46,3.31173506119,E6,E,6,3,percentage
27,1048,32,3.0534351145,E6,E,6,3,percentage
28,754,20,2.6525198939,E6,E,6,3,percentage
29,514,11,2.14007782101,E6,E,6,3,percentage
30,329,4,1.21580547113,E6,E,6,3,percentage
31,195,1,0.51282051282,E6,E,6,3,percentage
32,105,0,0.0,E6,E,6,3,percentage
33,50,0,0.0,E6,E,6,3,percentage
34,20,0,0.0,E6,E,6,3,percentage
35,6,0,0.0,E6,E,6,3,percentage
36,1,0,0.0,E6,E,6,3,percentage
0,1,0,0.0,G2,G,2,2,percentage
1,2,0,0.0,G2,G,2,2,percentage
2,2,0,0.0,G2,G,2,2,percentage
3,2,0,0.0,G2,G,2,2,percentage
4,2,2,100.0,G2,G,2,2,percentage
5,2,2,100.0,G2,G,2,2,percentage
6,1,0,0.0,G2,G,2,2,percentage
0,1,0,0.0,G2,G,2,3,percentage
1,2,0,0.0,G2,G,2,3,percentage
2,2,0,0.0,G2,G,2,3,percentage
3,2,1,50.0,G2,G,2,3,percentage
4,2,0,0.0,G2,G,2,3,percentage
5,2,1,50.0,G2,G,2,3,percentage
6,1,0,0.0,G2,G,2,3,percentage
